student_id,age,gender,decision_period,degree_program,cgpa,academic_consistency,major_subject_score,aptitude_score,logical_reasoning_score,communication_score,programming_skill,data_analysis_skill,domain_knowledge_score,digital_literacy_score,technical_certifications,leadership_score,teamwork_score,problem_solving_score,creativity_score,adaptability_score,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,emotional_stability_score,career_interest_domain,career_interest_strength,work_environment_preference,risk_tolerance,internship_count,internship_duration_months,project_count,industry_exposure_score,extracurricular_score,resume_quality_score,interview_skill_score,employability_score,career_demand_index,job_growth_rate,average_salary,competition_index,skill_demand_alignment,career_suitability_reward,employment_demand_reward,salary_potential_reward,skill_alignment_reward,student_satisfaction_reward,total_reward,next_employability_score,next_skill_alignment,career_decision_success,recommended_career
STU_00011,20,Female,3,Science,7.55,70.4,76.07,73.23,56.08,76.49,87.0,59.23,81.57,60.49,1,74.45,78.99,78.23,80.7,74.91,51.05,100.0,68.07,64.76,47.48,Finance,65.66,Hybrid,99.28,0,0,5,37.52,20.84,66.9,65.84,70.96,58.78,7.02,724563.38,55.98,77.23,0.8536,0.5878,0.2914,0.7723,0.6387,0.6743,76.1,81.83,1,Entrepreneurship
STU_00012,24,Other,1,Mechanical Engineering,7.6,92.45,79.62,78.75,86.48,84.74,53.51,60.86,70.33,57.38,3,68.05,67.08,68.99,80.5,61.97,75.76,78.42,84.93,82.13,97.8,Data and Analytics,70.0,Flexible,23.12,2,10,7,49.59,65.29,35.49,61.39,68.76,87.05,7.3,756931.69,52.42,80.52,0.825,0.8705,0.3094,0.8052,0.7395,0.7433,76.1,84.56,1,Research and Academia
STU_00013,20,Male,1,Information Technology,5.78,100.0,67.86,67.06,50.33,56.23,98.55,74.7,58.39,78.18,1,59.53,61.71,52.45,56.09,66.52,67.32,100.0,61.0,46.13,73.08,Public Service,100.0,Office,70.65,1,5,6,46.87,44.89,91.91,72.25,63.27,82.33,4.58,619756.35,20.19,73.72,0.8589,0.8233,0.2332,0.7372,0.8792,0.7295,66.3,74.88,1,Higher Education
STU_00014,20,Male,7,Economics,7.15,72.74,81.9,58.64,67.7,48.21,44.92,36.42,65.91,64.82,3,41.09,68.29,74.95,49.82,57.43,86.33,66.17,71.81,49.18,62.16,Business,41.5,Office,42.03,0,0,2,36.02,57.43,66.1,,54.75,62.75,3.34,471030.44,68.73,56.19,0.8125,0.6275,0.1506,0.5619,0.4882,0.5811,57.06,54.85,0,Research and Academia
STU_00015,25,Female,4,Science,6.44,74.81,69.85,76.28,58.29,31.61,63.36,61.47,57.85,74.18,4,94.0,68.9,71.06,66.63,89.73,88.43,67.58,56.13,68.37,71.99,Public Service,63.49,Hybrid,58.43,1,3,4,45.36,69.99,79.77,49.2,65.77,86.45,1.16,816285.97,42.51,68.81,0.7719,0.8645,0.3424,0.6881,0.7044,0.6983,70.42,70.59,1,Cloud and DevOps
STU_00016,22,Female,1,Commerce,8.77,73.07,82.71,89.99,66.66,,62.35,71.97,59.49,53.43,4,65.59,55.59,95.59,40.68,71.82,61.98,50.07,79.13,73.53,89.6,Data and Analytics,100.0,Field,55.04,2,8,2,36.56,55.36,62.69,80.56,78.68,61.87,8.91,579661.62,49.27,70.25,0.8046,0.6187,0.2109,0.7025,0.9228,0.6647,84.71,75.88,1,Higher Education
STU_00017,21,Male,4,Computer Science,6.58,75.96,71.23,62.98,71.03,98.57,67.66,,48.91,48.88,3,42.9,97.35,61.36,54.75,70.33,74.14,49.79,63.94,65.28,88.55,Entrepreneurship,85.12,Hybrid,80.44,1,3,6,51.71,61.29,62.84,71.23,71.63,36.05,0.39,829662.71,56.62,69.59,0.8156,0.3605,0.3498,0.6959,0.8285,0.6261,75.02,73.85,0,Higher Education
STU_00018,25,Male,2,Economics,6.81,90.06,95.33,65.07,71.77,52.68,100.0,23.76,77.69,86.79,2,55.8,53.07,58.28,87.79,58.48,54.37,97.37,64.04,74.88,64.82,Engineering,71.31,Office,67.19,3,18,3,66.97,15.15,83.78,91.89,65.24,70.85,-4.39,474230.84,93.94,70.39,0.7949,0.7085,0.1524,0.7039,0.6745,0.6465,68.4,75.26,0,Cybersecurity
STU_00019,25,Female,3,Electrical Engineering,6.31,74.04,48.35,82.98,73.55,64.54,45.53,40.76,67.29,66.86,2,70.44,48.67,97.36,53.1,73.98,55.54,70.49,56.32,82.64,53.99,Finance,87.53,Flexible,33.88,3,3,3,37.47,26.17,70.22,72.56,70.96,74.39,3.35,777325.52,85.63,58.8,0.7021,0.7439,0.3207,0.588,0.7811,0.6326,75.62,62.83,0,Software Development
STU_00020,20,Male,2,Information Technology,7.36,56.17,48.28,69.0,60.7,85.53,65.33,63.94,76.88,76.97,3,58.78,68.76,86.97,94.89,32.28,67.55,61.63,62.72,99.24,71.39,Finance,75.51,Hybrid,66.22,1,1,5,53.33,53.66,67.96,88.46,71.33,72.49,5.47,629299.33,50.79,56.53,0.8087,0.7249,0.2385,0.5653,0.6604,0.6307,69.55,57.16,0,Finance and Banking
STU_00021,23,Male,8,Computer Science,7.22,77.34,82.32,69.18,81.35,48.29,69.57,78.82,92.89,85.69,1,84.59,72.5,81.18,68.29,99.24,87.04,40.49,46.91,77.52,78.45,Research,81.93,Remote,46.78,0,0,5,25.33,83.28,76.51,73.43,70.01,37.01,2.7,564534.54,25.47,73.02,0.847,0.3701,0.2025,0.7302,0.847,0.6257,72.74,78.73,0,Cloud and DevOps
STU_00022,22,Female,2,Electrical Engineering,9.18,69.0,52.49,60.14,55.46,66.11,64.08,61.17,69.21,83.31,3,73.94,68.01,76.91,72.59,100.0,85.73,72.78,72.5,94.87,55.87,Business,54.97,Field,37.87,1,4,5,74.9,50.47,58.56,66.13,71.63,98.89,15.51,584119.16,23.46,65.86,0.819,0.9889,0.2134,0.6586,0.6416,0.7043,77.33,67.89,1,Cloud and DevOps
STU_00023,19,Female,2,Commerce,7.36,59.44,75.41,77.79,61.29,67.37,66.64,78.5,55.35,70.06,6,66.23,89.2,72.16,74.57,83.32,66.62,75.62,65.6,68.97,64.56,Finance,65.58,Office,76.54,3,3,7,56.38,67.8,69.67,10.0,65.42,100.0,2.87,653846.48,86.07,67.59,0.8437,1.0,0.2521,0.6759,0.6892,0.7288,67.57,71.35,1,Finance and Banking
STU_00024,25,Female,2,Mathematics,9.01,,66.3,68.17,70.81,52.28,15.63,53.67,61.15,55.87,6,81.31,52.67,75.43,75.9,80.48,79.86,64.09,75.74,100.0,68.44,Research,69.32,Field,61.97,3,12,1,45.75,36.85,83.47,73.01,60.76,76.08,9.15,837355.47,71.24,58.58,0.7851,0.7608,0.3541,0.5858,0.7138,0.6586,66.15,67.16,1,Research and Academia
STU_00025,21,Male,5,Electrical Engineering,9.25,72.57,91.9,48.64,100.0,62.24,65.53,86.8,71.1,65.84,0,80.82,59.92,94.31,53.18,68.5,95.98,73.96,70.79,73.34,48.71,Finance,84.34,Hybrid,70.4,1,2,6,29.65,79.54,52.32,61.97,61.33,59.87,2.99,915808.25,51.18,76.94,0.9076,0.5987,0.3977,0.7694,0.7405,0.7181,63.76,80.65,1,Research and Academia
STU_00026,23,Female,1,Commerce,6.98,82.15,73.83,78.74,78.86,98.29,74.47,52.41,68.25,48.27,1,84.76,78.56,81.26,55.95,64.18,57.72,62.47,77.65,79.72,60.41,Public Service,84.46,Remote,48.42,4,4,7,76.8,73.89,84.83,29.48,74.51,56.18,2.63,906239.36,37.91,61.24,0.8904,0.5618,0.3924,0.6124,0.7559,0.667,82.76,65.2,1,Business Management
STU_00027,23,Female,3,Electrical Engineering,7.19,81.42,65.79,81.27,49.42,83.99,61.46,86.51,75.83,76.8,1,83.1,71.35,73.5,68.37,88.53,69.09,70.55,85.27,91.32,84.97,Technology,75.96,Hybrid,83.98,0,0,9,45.67,62.35,47.58,100.0,78.48,71.08,6.03,366987.97,69.52,76.14,0.8129,0.7108,0.0928,0.7614,0.8028,0.6706,82.06,81.3,1,Research and Academia
STU_00028,19,Female,8,Business Administration,6.71,89.67,96.6,66.43,77.31,81.24,73.94,89.55,59.75,64.04,1,60.18,76.93,68.89,44.32,70.16,62.18,72.96,70.92,64.66,68.23,Business,66.94,Field,43.07,3,12,5,56.38,53.29,91.19,37.08,68.37,72.52,7.64,1000596.68,44.06,81.68,0.8499,0.7252,0.4448,0.8168,0.6784,0.7388,70.86,84.41,1,Data Science and AI
STU_00029,25,Female,8,Information Technology,5.93,64.16,82.04,83.89,71.02,43.43,58.69,72.71,,93.63,1,80.74,66.38,98.91,74.89,64.53,77.11,59.07,38.18,83.78,74.44,Entrepreneurship,89.07,Laboratory,70.35,3,6,3,50.15,79.66,75.02,100.0,74.75,79.56,5.38,551743.38,99.08,70.26,0.8272,0.7956,0.1954,0.7026,0.8124,0.6935,79.07,70.52,1,Software Development
STU_00030,21,Male,3,Economics,10.0,69.19,57.35,51.79,66.29,,48.9,66.76,74.03,57.82,1,83.92,66.52,71.75,56.01,100.0,44.75,57.52,78.6,63.69,49.96,Marketing,47.4,Field,23.42,3,18,9,78.25,53.26,34.43,37.45,64.13,75.09,0.15,761922.61,55.4,69.64,0.878,0.7509,0.3122,0.6964,0.5843,0.6929,64.8,70.02,1,Business Management
STU_00031,22,Male,8,Economics,6.72,82.26,46.18,56.74,64.29,92.96,58.05,100.0,79.64,79.75,6,55.41,71.93,75.61,64.43,72.64,51.24,67.19,53.43,100.0,23.58,Engineering,80.05,Remote,68.63,3,6,4,74.65,23.72,73.42,64.17,70.25,100.0,2.79,497378.56,97.55,80.29,0.7814,1.0,0.1652,0.8029,0.6727,0.7272,78.99,82.12,1,Cloud and DevOps
STU_00032,18,Male,8,Science,6.32,83.37,91.55,63.45,74.86,62.73,81.77,85.77,72.05,54.34,0,77.47,93.38,84.08,93.14,77.37,71.62,60.53,52.76,98.63,96.05,Business,53.68,Field,58.03,1,2,4,48.03,66.37,66.41,63.34,70.85,63.05,11.47,904713.75,71.13,72.74,0.816,0.6305,0.3915,0.7274,0.6689,0.6784,73.64,76.41,1,Higher Education
STU_00033,21,Male,6,Economics,6.13,67.23,77.69,71.02,68.65,65.74,50.83,79.62,54.19,100.0,1,53.93,30.52,86.39,65.66,84.68,71.14,77.97,56.47,74.66,66.04,Public Service,100.0,Hybrid,79.51,2,6,4,50.78,30.33,75.14,68.09,62.07,92.22,10.01,766845.24,61.72,69.29,0.7807,0.9222,0.3149,0.6929,0.9014,0.7292,64.86,70.88,1,Cybersecurity
STU_00034,19,Female,2,Commerce,6.65,65.07,85.1,75.49,80.86,34.55,87.6,44.64,64.6,89.04,2,87.56,60.63,41.42,82.87,90.57,76.99,49.37,87.78,75.04,40.11,Entrepreneurship,92.38,Office,100.0,0,0,4,37.64,62.76,57.07,88.47,63.86,58.51,8.22,711704.74,59.23,61.36,0.7635,0.5851,0.2843,0.6136,0.8156,0.6237,67.9,64.51,0,Research and Academia
STU_00035,23,Female,8,Economics,7.04,80.13,89.46,62.66,53.73,94.62,97.5,86.94,92.52,86.28,2,81.7,78.75,82.36,66.94,35.93,92.4,85.76,76.74,50.95,64.6,Data and Analytics,73.25,Field,41.18,4,16,7,84.7,33.1,70.22,72.3,72.85,93.66,3.38,627040.23,97.7,91.35,0.852,0.9366,0.2372,0.9135,0.6406,0.7709,76.34,91.71,1,Cybersecurity
STU_00036,22,Female,3,Computer Science,8.89,85.43,81.42,79.98,55.11,88.66,63.07,61.32,55.97,69.54,2,92.6,61.07,61.69,63.19,91.06,88.31,73.77,61.73,70.43,84.13,Finance,80.98,Office,48.86,1,5,4,53.28,100.0,79.58,66.29,68.14,81.78,9.42,436945.14,46.3,74.82,0.8602,0.8178,0.1316,0.7482,0.8363,0.712,71.9,79.36,1,Government and Public Service
STU_00037,21,Female,7,Electronics,9.58,70.91,77.32,62.17,74.82,67.31,26.46,100.0,76.77,67.17,1,71.84,56.18,96.85,60.71,97.43,77.88,75.37,58.35,71.08,51.34,Engineering,43.23,Field,70.49,3,3,3,46.73,47.0,66.35,81.59,76.75,69.75,7.38,1077272.95,59.36,77.11,0.8035,0.6975,0.4874,0.7711,0.5569,0.7021,78.76,83.11,1,Finance and Banking
STU_00038,18,Male,4,Information Technology,4.9,79.97,71.45,33.84,75.82,72.63,100.0,57.5,61.27,69.45,1,62.51,86.31,67.95,79.39,100.0,69.3,99.95,90.75,49.25,45.36,Business,60.01,Laboratory,17.07,0,0,3,38.91,48.85,55.07,73.43,61.97,58.48,15.94,509557.57,39.75,73.29,0.8358,0.5848,0.172,0.7329,0.6508,0.6418,59.43,76.68,0,Cybersecurity
STU_00039,18,Male,3,Science,9.31,,79.07,50.21,84.34,74.24,100.0,68.93,66.55,45.63,4,57.18,80.49,65.36,39.63,57.22,61.04,52.36,60.34,61.22,68.66,Technology,89.92,Field,71.52,2,4,3,31.46,55.59,89.07,45.02,59.36,78.04,12.47,487508.87,38.4,70.93,0.8477,0.7804,0.1597,0.7093,0.7913,0.6908,67.12,76.46,1,Higher Education
STU_00040,20,Male,7,Computer Science,9.41,65.53,68.45,94.41,59.71,79.58,72.04,59.94,34.66,95.56,2,76.84,59.35,60.57,63.47,61.76,69.04,70.85,47.12,67.24,74.59,Entrepreneurship,77.85,Flexible,42.7,2,2,4,54.18,63.1,69.77,62.2,66.45,47.42,11.95,896834.86,54.89,66.07,0.8049,0.4742,0.3871,0.6607,0.7398,0.6335,71.14,73.05,0,Higher Education
STU_00041,20,Male,2,Civil Engineering,6.66,83.56,91.73,59.01,59.85,70.22,100.0,,51.45,59.25,3,67.95,32.59,88.48,48.89,83.68,100.0,62.42,85.07,61.19,70.62,Public Service,44.75,Flexible,51.72,1,4,2,26.06,57.44,75.21,27.78,62.07,88.88,0.41,760358.19,75.27,74.52,0.7985,0.8888,0.3113,0.7452,0.5771,0.708,65.96,81.18,1,Research and Academia
STU_00042,24,Male,3,Computer Science,6.31,71.04,82.9,61.05,51.48,73.09,54.35,63.65,60.91,79.96,1,63.83,74.05,53.34,48.12,80.42,84.02,83.32,99.44,80.03,49.82,Data and Analytics,75.94,Field,42.54,1,5,5,68.17,58.36,67.29,56.17,59.38,54.5,14.61,964684.66,78.32,64.62,0.7707,0.545,0.4248,0.6462,0.7161,0.6371,58.85,65.94,0,Government and Public Service
STU_00043,19,Female,1,Electronics,8.03,54.3,93.79,48.16,73.25,52.42,74.21,28.26,95.0,96.29,4,79.29,76.73,57.22,70.25,90.16,67.33,73.52,96.39,55.93,58.02,Technology,48.86,Field,56.82,0,0,7,72.69,68.6,84.38,80.48,69.58,52.39,0.35,485559.92,66.81,71.13,0.8756,0.5239,0.1586,0.7113,0.5895,0.628,71.18,71.61,0,Core Engineering
STU_00044,25,Other,2,Electrical Engineering,6.63,65.45,77.71,78.59,55.82,77.27,46.77,51.14,59.4,72.73,1,78.02,77.5,62.75,86.64,71.53,71.03,65.64,50.66,93.43,70.83,Data and Analytics,44.03,Office,49.12,1,3,5,58.36,81.72,71.22,48.98,64.0,63.66,-2.06,692973.44,22.92,57.88,0.8072,0.6366,0.2739,0.5788,0.5489,0.6102,71.03,61.12,0,Entrepreneurship
STU_00045,21,Male,5,Electrical Engineering,9.2,44.76,74.18,63.6,80.25,90.21,85.68,49.6,26.05,81.94,2,64.42,78.87,82.46,70.54,88.87,35.71,73.51,79.95,71.15,74.01,Engineering,65.92,Laboratory,64.26,1,5,5,44.37,26.83,36.13,76.96,65.48,81.05,1.81,734706.86,67.31,65.69,0.8997,0.8105,0.2971,0.6569,0.7213,0.7129,69.03,67.85,1,Cybersecurity
STU_00046,21,Male,8,Electronics,7.99,100.0,71.83,68.58,86.18,63.13,72.55,71.98,92.73,68.14,3,100.0,87.89,72.25,100.0,51.43,43.14,74.14,60.13,79.67,67.15,Research,67.72,Laboratory,58.06,0,0,4,16.93,58.57,56.19,52.42,61.99,68.6,8.91,367553.62,95.15,74.13,0.8461,0.686,0.0931,0.7413,0.6435,0.6547,65.55,76.55,0,Higher Education
STU_00047,25,Female,7,Mechanical Engineering,,90.89,96.96,68.23,93.28,74.41,41.08,72.24,82.43,81.79,2,55.96,97.55,63.73,62.26,73.33,94.61,96.46,77.02,100.0,58.57,Data and Analytics,58.29,Remote,45.88,0,0,2,38.26,53.59,39.53,65.86,67.7,68.67,3.61,742965.44,60.46,68.97,0.9037,0.6867,0.3016,0.6897,0.6135,0.6875,73.33,75.42,1,Research and Academia
STU_00048,24,Male,1,Commerce,7.75,56.85,56.48,44.66,56.75,68.04,44.78,46.16,63.21,65.27,2,37.12,44.69,79.34,44.42,66.46,70.14,55.29,38.73,54.47,66.26,Engineering,54.34,Remote,63.45,1,4,2,35.25,69.65,65.71,75.64,61.93,78.04,13.06,528500.09,100.0,58.22,0.7586,0.7804,0.1825,0.5822,0.5915,0.6157,68.12,60.53,0,Research and Academia
STU_00049,23,Female,3,Electrical Engineering,7.48,66.33,47.2,62.16,81.19,58.13,42.9,79.54,74.73,73.03,2,72.83,48.29,49.43,51.17,91.62,77.51,77.71,58.18,77.31,88.6,Marketing,88.02,Hybrid,62.4,1,1,4,44.44,48.51,78.19,43.52,67.14,89.02,3.6,753223.23,46.11,55.17,0.7214,0.8902,0.3073,0.5517,0.8886,0.6673,71.16,60.64,1,Research and Academia
STU_00050,23,Female,5,Science,5.1,76.93,70.33,88.28,100.0,80.83,78.15,66.18,55.39,66.13,2,87.76,67.73,73.75,56.61,71.8,62.67,87.41,100.0,86.25,67.67,Entrepreneurship,64.43,Office,69.25,1,4,2,25.37,46.4,33.97,72.69,69.19,93.86,6.06,540129.52,31.01,82.8,0.8857,0.9386,0.189,0.828,0.6655,0.7553,78.08,83.65,1,Government and Public Service
STU_00051,24,Female,6,Information Technology,6.22,94.79,71.57,72.21,66.82,69.08,68.2,74.74,,63.45,0,90.91,59.81,72.1,50.24,45.7,94.4,47.69,64.7,71.14,65.65,Business,49.99,Hybrid,64.45,0,0,4,30.54,53.51,69.87,58.22,70.03,54.69,7.29,870518.48,71.79,68.75,0.7369,0.5469,0.3725,0.6875,0.5226,0.6105,76.38,72.08,0,Research and Academia
STU_00052,23,Male,8,Economics,6.61,83.42,88.54,41.8,79.24,71.44,71.56,72.65,74.11,95.86,2,83.49,68.09,77.27,63.2,66.64,43.68,52.34,52.13,77.24,54.88,Public Service,85.88,Hybrid,97.26,0,0,9,62.82,49.53,45.62,57.68,61.34,74.46,11.66,681561.38,56.41,73.93,0.8774,0.7446,0.2675,0.7393,0.7583,0.7129,68.1,80.26,1,Cloud and DevOps
STU_00053,20,Female,1,Electrical Engineering,7.86,76.87,92.53,67.83,63.44,100.0,74.8,39.94,79.37,71.61,4,69.75,66.3,61.33,62.19,77.58,80.45,46.7,55.8,75.83,60.5,Finance,89.12,Field,76.41,2,12,6,74.44,32.67,98.31,80.43,77.09,78.65,1.5,488664.49,81.38,69.63,0.8045,0.7865,0.1604,0.6963,0.8109,0.6779,81.86,75.1,1,Entrepreneurship
STU_00054,21,Male,6,Information Technology,8.08,66.35,71.31,63.32,58.71,85.06,70.08,63.28,65.6,45.58,2,100.0,100.0,,59.26,92.27,75.24,83.86,49.72,43.06,48.65,Finance,66.97,Flexible,73.04,2,12,3,44.89,79.56,69.0,100.0,80.57,31.99,14.43,397722.61,80.49,66.17,0.8428,0.3199,0.1098,0.6617,0.6837,0.5671,83.54,67.89,0,Business Management
STU_00055,24,Female,4,Commerce,8.85,80.22,67.29,64.0,67.7,48.08,78.65,78.85,92.91,66.15,1,85.65,92.58,47.09,93.2,94.89,67.04,80.76,97.84,84.29,71.39,Data and Analytics,53.13,Remote,85.8,2,6,8,60.12,70.31,14.01,60.21,57.35,65.38,-2.37,1108154.56,48.51,80.42,0.759,0.6538,0.5045,0.8042,0.6513,0.7003,64.86,85.38,1,Cloud and DevOps
STU_00056,21,Male,1,Science,6.55,79.69,39.45,61.13,72.64,59.39,66.74,69.06,54.26,74.97,1,94.28,63.28,73.91,49.78,99.41,32.79,64.48,73.0,82.48,77.45,Marketing,80.17,Office,31.11,2,12,5,50.39,50.71,84.3,58.33,59.54,91.32,9.61,655792.66,25.27,72.38,0.8173,0.9132,0.2532,0.7238,0.8347,0.7302,63.71,78.91,1,Cloud and DevOps
STU_00057,25,Male,5,Science,5.62,74.45,100.0,61.09,75.35,62.34,46.26,69.36,83.24,77.08,2,66.08,51.92,53.19,60.04,87.27,72.84,59.15,80.8,95.83,81.81,Engineering,100.0,Laboratory,78.71,4,4,3,65.15,99.65,50.26,61.25,63.51,82.03,7.5,330724.01,90.21,66.01,0.7798,0.8203,0.0726,0.6601,0.9382,0.6677,66.25,68.91,1,Higher Education
STU_00058,18,Female,6,Mathematics,6.38,72.96,81.86,67.79,76.78,59.9,35.24,66.09,54.64,58.34,1,77.07,84.12,66.71,61.01,60.22,59.66,65.26,40.47,53.27,76.48,Data and Analytics,76.64,Hybrid,48.41,2,2,2,38.25,48.9,82.49,63.59,69.64,62.85,8.86,508766.4,79.2,54.81,0.7376,0.6285,0.1715,0.5481,0.7332,0.5831,77.14,56.49,0,Finance and Banking
STU_00059,20,Female,4,Mathematics,6.55,68.19,91.73,60.19,87.54,62.64,75.26,49.06,67.76,32.87,0,,68.35,61.51,52.0,54.53,70.46,70.51,31.01,80.06,94.14,Public Service,76.12,Flexible,36.51,2,4,3,53.12,69.44,51.17,34.46,61.03,73.86,15.86,899393.77,55.85,66.3,0.7363,0.7386,0.3886,0.663,0.7541,0.6681,63.14,70.13,1,Cybersecurity
STU_00060,22,Female,8,Mechanical Engineering,6.44,90.73,88.54,82.95,73.21,84.67,94.33,75.74,86.76,78.36,0,51.41,68.94,72.53,46.61,73.71,46.87,73.09,75.14,70.9,69.45,Technology,75.66,Office,45.92,2,6,3,65.67,64.89,86.45,55.91,73.85,66.27,6.54,542924.14,54.68,88.7,0.865,0.6627,0.1905,0.887,0.7403,0.7164,76.61,96.91,1,Data Science and AI
STU_00061,20,Female,6,Computer Science,7.37,52.01,48.01,59.5,59.93,86.35,61.26,42.15,60.75,66.36,1,81.68,83.3,43.15,60.3,78.71,44.23,63.08,52.57,96.09,69.96,Data and Analytics,73.84,Laboratory,71.68,1,5,1,41.48,79.23,68.57,84.05,65.38,37.96,12.7,631930.43,55.94,63.7,0.8018,0.3796,0.24,0.637,0.7404,0.5857,70.24,68.33,0,Entrepreneurship
STU_00062,24,Female,3,Mathematics,8.24,78.01,66.17,52.08,73.42,97.29,100.0,55.86,58.97,73.2,3,73.62,100.0,89.09,76.4,69.92,58.42,78.68,60.64,68.6,51.97,Finance,54.57,Flexible,81.81,2,6,6,56.89,60.66,64.95,82.85,81.41,67.23,1.58,602622.43,70.48,82.61,0.89,0.6723,0.2237,0.8261,0.5712,0.6987,85.72,87.18,1,Cybersecurity
