snapshot_date,category,seniority,tier,listings_with_ai,total_listings,pct,required_count
2026-03-26,security,senior,ml,8,21,38.1,8
2026-04-02,ai,all,any_ai,302,321,94.1,302
2026-04-02,ai,all,genai,257,321,80.1,254
2026-04-02,ai,all,ml,230,321,71.7,230
2026-04-02,ai,entry,any_ai,1,1,100.0,1
2026-04-02,ai,entry,genai,1,1,100.0,1
2026-04-02,ai,entry,ml,1,1,100.0,1
2026-04-02,ai,mid,any_ai,161,174,92.5,161
2026-04-02,ai,mid,genai,141,174,81.0,140
2026-04-02,ai,mid,ml,121,174,69.5,121
2026-04-02,ai,senior,any_ai,140,146,95.9,140
2026-04-02,ai,senior,genai,115,146,78.8,113
2026-04-02,ai,senior,ml,108,146,74.0,108
2026-04-02,data,all,any_ai,125,215,58.1,124
2026-04-02,data,all,genai,44,215,20.5,44
2026-04-02,data,all,ml,105,215,48.8,104
2026-04-02,data,mid,any_ai,38,86,44.2,38
2026-04-02,data,mid,genai,13,86,15.1,13
2026-04-02,data,mid,ml,31,86,36.0,31
2026-04-02,data,senior,any_ai,87,129,67.4,86
2026-04-02,data,senior,genai,31,129,24.0,31
2026-04-02,data,senior,ml,74,129,57.4,73
2026-04-02,devops,all,any_ai,19,133,14.3,19
2026-04-02,devops,all,genai,16,133,12.0,16
2026-04-02,devops,all,ml,14,133,10.5,14
2026-04-02,devops,entry,any_ai,0,3,0.0,0
2026-04-02,devops,entry,genai,0,3,0.0,0
2026-04-02,devops,entry,ml,0,3,0.0,0
2026-04-02,devops,mid,any_ai,15,50,30.0,15
2026-04-02,devops,mid,genai,13,50,26.0,13
2026-04-02,devops,mid,ml,11,50,22.0,11
2026-04-02,devops,senior,any_ai,4,80,5.0,4
2026-04-02,devops,senior,genai,3,80,3.8,3
2026-04-02,devops,senior,ml,3,80,3.8,3
2026-04-02,engineering,all,any_ai,381,1041,36.6,377
2026-04-02,engineering,all,genai,239,1041,23.0,236
2026-04-02,engineering,all,ml,255,1041,24.5,250
2026-04-02,engineering,entry,any_ai,6,9,66.7,6
2026-04-02,engineering,entry,genai,4,9,44.4,4
2026-04-02,engineering,entry,ml,3,9,33.3,3
2026-04-02,engineering,mid,any_ai,75,326,23.0,74
2026-04-02,engineering,mid,genai,53,326,16.3,53
2026-04-02,engineering,mid,ml,42,326,12.9,38
2026-04-02,engineering,senior,any_ai,300,706,42.5,297
2026-04-02,engineering,senior,genai,182,706,25.8,179
2026-04-02,engineering,senior,ml,210,706,29.7,209
2026-04-02,product,all,any_ai,101,298,33.9,100
2026-04-02,product,all,genai,81,298,27.2,78
2026-04-02,product,all,ml,46,298,15.4,46
2026-04-02,product,entry,any_ai,1,3,33.3,1
2026-04-02,product,entry,genai,0,3,0.0,0
2026-04-02,product,entry,ml,1,3,33.3,1
2026-04-02,product,mid,any_ai,27,90,30.0,26
2026-04-02,product,mid,genai,26,90,28.9,25
2026-04-02,product,mid,ml,4,90,4.4,4
2026-04-02,product,senior,any_ai,73,205,35.6,73
2026-04-02,product,senior,genai,55,205,26.8,53
2026-04-02,product,senior,ml,41,205,20.0,41
2026-04-02,security,all,any_ai,9,41,22.0,9
2026-04-02,security,all,genai,6,41,14.6,6
2026-04-02,security,all,ml,8,41,19.5,8
2026-04-02,security,entry,any_ai,0,1,0.0,0
2026-04-02,security,entry,genai,0,1,0.0,0
2026-04-02,security,entry,ml,0,1,0.0,0
2026-04-02,security,mid,any_ai,0,9,0.0,0
2026-04-02,security,mid,genai,0,9,0.0,0
2026-04-02,security,mid,ml,0,9,0.0,0
2026-04-02,security,senior,any_ai,9,31,29.0,9
2026-04-02,security,senior,genai,6,31,19.4,6
2026-04-02,security,senior,ml,8,31,25.8,8
2026-04-09,ai,all,any_ai,375,431,87.0,375
2026-04-09,ai,all,genai,288,431,66.8,285
2026-04-09,ai,all,ml,291,431,67.5,291
2026-04-09,ai,entry,any_ai,1,2,50.0,1
2026-04-09,ai,entry,genai,1,2,50.0,1
2026-04-09,ai,entry,ml,1,2,50.0,1
2026-04-09,ai,mid,any_ai,191,223,85.7,191
2026-04-09,ai,mid,genai,159,223,71.3,158
2026-04-09,ai,mid,ml,145,223,65.0,145
2026-04-09,ai,senior,any_ai,183,206,88.8,183
2026-04-09,ai,senior,genai,128,206,62.1,126
2026-04-09,ai,senior,ml,145,206,70.4,145
2026-04-09,data,all,any_ai,173,468,37.0,172
2026-04-09,data,all,genai,72,468,15.4,72
2026-04-09,data,all,ml,137,468,29.3,136
2026-04-09,data,entry,any_ai,0,2,0.0,0
2026-04-09,data,entry,genai,0,2,0.0,0
2026-04-09,data,entry,ml,0,2,0.0,0
2026-04-09,data,mid,any_ai,57,221,25.8,57
2026-04-09,data,mid,genai,20,221,9.0,20
2026-04-09,data,mid,ml,46,221,20.8,46
2026-04-09,data,senior,any_ai,116,245,47.3,115
2026-04-09,data,senior,genai,52,245,21.2,52
2026-04-09,data,senior,ml,91,245,37.1,90
2026-04-09,devops,all,any_ai,73,315,23.2,73
2026-04-09,devops,all,genai,55,315,17.5,55
2026-04-09,devops,all,ml,41,315,13.0,41
2026-04-09,devops,entry,any_ai,0,6,0.0,0
2026-04-09,devops,entry,genai,0,6,0.0,0
2026-04-09,devops,entry,ml,0,6,0.0,0
2026-04-09,devops,mid,any_ai,50,147,34.0,50
2026-04-09,devops,mid,genai,41,147,27.9,41
2026-04-09,devops,mid,ml,27,147,18.4,27
2026-04-09,devops,senior,any_ai,23,162,14.2,23
2026-04-09,devops,senior,genai,14,162,8.6,14
2026-04-09,devops,senior,ml,14,162,8.6,14
2026-04-09,engineering,all,any_ai,467,1733,26.9,463
2026-04-09,engineering,all,genai,297,1733,17.1,294
2026-04-09,engineering,all,ml,296,1733,17.1,291
2026-04-09,engineering,entry,any_ai,7,28,25.0,7
2026-04-09,engineering,entry,genai,5,28,17.9,5
2026-04-09,engineering,entry,ml,4,28,14.3,4
2026-04-09,engineering,mid,any_ai,106,607,17.5,105
2026-04-09,engineering,mid,genai,71,607,11.7,71
2026-04-09,engineering,mid,ml,59,607,9.7,55
2026-04-09,engineering,senior,any_ai,354,1098,32.2,351
2026-04-09,engineering,senior,genai,221,1098,20.1,218
2026-04-09,engineering,senior,ml,233,1098,21.2,232
2026-04-09,product,all,any_ai,123,388,31.7,122
2026-04-09,product,all,genai,99,388,25.5,96
2026-04-09,product,all,ml,59,388,15.2,59
2026-04-09,product,entry,any_ai,1,3,33.3,1
2026-04-09,product,entry,genai,0,3,0.0,0
2026-04-09,product,entry,ml,1,3,33.3,1
2026-04-09,product,mid,any_ai,37,121,30.6,36
2026-04-09,product,mid,genai,33,121,27.3,32
2026-04-09,product,mid,ml,10,121,8.3,10
2026-04-09,product,senior,any_ai,85,264,32.2,85
2026-04-09,product,senior,genai,66,264,25.0,64
2026-04-09,product,senior,ml,48,264,18.2,48
2026-04-09,security,all,any_ai,10,64,15.6,10
2026-04-09,security,all,genai,7,64,10.9,7
2026-04-09,security,all,ml,8,64,12.5,8
2026-04-09,security,entry,any_ai,0,1,0.0,0
2026-04-09,security,entry,genai,0,1,0.0,0
2026-04-09,security,entry,ml,0,1,0.0,0
2026-04-09,security,mid,any_ai,0,24,0.0,0
2026-04-09,security,mid,genai,0,24,0.0,0
2026-04-09,security,mid,ml,0,24,0.0,0
2026-04-09,security,senior,any_ai,10,39,25.6,10
2026-04-09,security,senior,genai,7,39,17.9,7
2026-04-09,security,senior,ml,8,39,20.5,8
2026-04-16,ai,all,any_ai,375,417,89.9,375
2026-04-16,ai,all,genai,264,417,63.3,261
2026-04-16,ai,all,ml,302,417,72.4,302
2026-04-16,ai,entry,any_ai,1,1,100.0,1
2026-04-16,ai,entry,genai,1,1,100.0,1
2026-04-16,ai,entry,ml,1,1,100.0,1
2026-04-16,ai,mid,any_ai,193,214,90.2,193
2026-04-16,ai,mid,genai,142,214,66.4,141
2026-04-16,ai,mid,ml,150,214,70.1,150
2026-04-16,ai,senior,any_ai,181,202,89.6,181
2026-04-16,ai,senior,genai,121,202,59.9,119
2026-04-16,ai,senior,ml,151,202,74.8,151
2026-04-16,data,all,any_ai,172,427,40.3,171
2026-04-16,data,all,genai,64,427,15.0,64
2026-04-16,data,all,ml,141,427,33.0,140
2026-04-16,data,entry,any_ai,0,1,0.0,0
2026-04-16,data,entry,genai,0,1,0.0,0
2026-04-16,data,entry,ml,0,1,0.0,0
2026-04-16,data,mid,any_ai,51,188,27.1,51
2026-04-16,data,mid,genai,17,188,9.0,17
2026-04-16,data,mid,ml,43,188,22.9,43
2026-04-16,data,senior,any_ai,121,238,50.8,120
2026-04-16,data,senior,genai,47,238,19.7,47
2026-04-16,data,senior,ml,98,238,41.2,97
2026-04-16,devops,all,any_ai,77,391,19.7,77
2026-04-16,devops,all,genai,55,391,14.1,55
2026-04-16,devops,all,ml,41,391,10.5,41
2026-04-16,devops,entry,any_ai,6,9,66.7,6
2026-04-16,devops,entry,genai,0,9,0.0,0
2026-04-16,devops,entry,ml,6,9,66.7,6
2026-04-16,devops,mid,any_ai,44,169,26.0,44
2026-04-16,devops,mid,genai,37,169,21.9,37
2026-04-16,devops,mid,ml,21,169,12.4,21
2026-04-16,devops,senior,any_ai,27,213,12.7,27
2026-04-16,devops,senior,genai,18,213,8.5,18
2026-04-16,devops,senior,ml,14,213,6.6,14
2026-04-16,engineering,all,any_ai,463,1699,27.3,459
2026-04-16,engineering,all,genai,289,1699,17.0,286
2026-04-16,engineering,all,ml,302,1699,17.8,297
2026-04-16,engineering,entry,any_ai,7,33,21.2,7
2026-04-16,engineering,entry,genai,5,33,15.2,5
2026-04-16,engineering,entry,ml,4,33,12.1,4
2026-04-16,engineering,mid,any_ai,101,624,16.2,100
2026-04-16,engineering,mid,genai,63,624,10.1,63
2026-04-16,engineering,mid,ml,59,624,9.5,55
2026-04-16,engineering,senior,any_ai,355,1042,34.1,352
2026-04-16,engineering,senior,genai,221,1042,21.2,218
2026-04-16,engineering,senior,ml,239,1042,22.9,238
2026-04-16,product,all,any_ai,123,379,32.5,122
2026-04-16,product,all,genai,101,379,26.6,98
2026-04-16,product,all,ml,56,379,14.8,56
2026-04-16,product,entry,any_ai,1,3,33.3,1
2026-04-16,product,entry,genai,0,3,0.0,0
2026-04-16,product,entry,ml,1,3,33.3,1
2026-04-16,product,mid,any_ai,37,115,32.2,36
2026-04-16,product,mid,genai,33,115,28.7,32
2026-04-16,product,mid,ml,9,115,7.8,9
2026-04-16,product,senior,any_ai,85,261,32.6,85
2026-04-16,product,senior,genai,68,261,26.1,66
2026-04-16,product,senior,ml,46,261,17.6,46
2026-04-16,security,all,any_ai,9,70,12.9,9
2026-04-16,security,all,genai,6,70,8.6,6
2026-04-16,security,all,ml,8,70,11.4,8
2026-04-16,security,entry,any_ai,0,1,0.0,0
2026-04-16,security,entry,genai,0,1,0.0,0
2026-04-16,security,entry,ml,0,1,0.0,0
2026-04-16,security,mid,any_ai,0,27,0.0,0
2026-04-16,security,mid,genai,0,27,0.0,0
2026-04-16,security,mid,ml,0,27,0.0,0
2026-04-16,security,senior,any_ai,9,42,21.4,9
2026-04-16,security,senior,genai,6,42,14.3,6
2026-04-16,security,senior,ml,8,42,19.0,8
2026-04-23,ai,all,any_ai,351,382,91.9,351
2026-04-23,ai,all,genai,285,382,74.6,282
2026-04-23,ai,all,ml,270,382,70.7,269
2026-04-23,ai,entry,any_ai,1,1,100.0,1
2026-04-23,ai,entry,genai,1,1,100.0,1
2026-04-23,ai,entry,ml,1,1,100.0,1
2026-04-23,ai,mid,any_ai,178,195,91.3,178
2026-04-23,ai,mid,genai,151,195,77.4,150
2026-04-23,ai,mid,ml,133,195,68.2,132
2026-04-23,ai,senior,any_ai,172,186,92.5,172
2026-04-23,ai,senior,genai,133,186,71.5,131
2026-04-23,ai,senior,ml,136,186,73.1,136
2026-04-23,data,all,any_ai,150,387,38.8,149
2026-04-23,data,all,genai,60,387,15.5,60
2026-04-23,data,all,ml,119,387,30.7,118
2026-04-23,data,entry,any_ai,0,2,0.0,0
2026-04-23,data,entry,genai,0,2,0.0,0
2026-04-23,data,entry,ml,0,2,0.0,0
2026-04-23,data,mid,any_ai,43,170,25.3,43
2026-04-23,data,mid,genai,17,170,10.0,17
2026-04-23,data,mid,ml,35,170,20.6,35
2026-04-23,data,senior,any_ai,107,215,49.8,106
2026-04-23,data,senior,genai,43,215,20.0,43
2026-04-23,data,senior,ml,84,215,39.1,83
2026-04-23,devops,all,any_ai,60,332,18.1,60
2026-04-23,devops,all,genai,42,332,12.7,42
2026-04-23,devops,all,ml,27,332,8.1,27
2026-04-23,devops,entry,any_ai,0,6,0.0,0
2026-04-23,devops,entry,genai,0,6,0.0,0
2026-04-23,devops,entry,ml,0,6,0.0,0
2026-04-23,devops,mid,any_ai,37,139,26.6,37
2026-04-23,devops,mid,genai,29,139,20.9,29
2026-04-23,devops,mid,ml,13,139,9.4,13
2026-04-23,devops,senior,any_ai,23,187,12.3,23
2026-04-23,devops,senior,genai,13,187,7.0,13
2026-04-23,devops,senior,ml,14,187,7.5,14
2026-04-23,engineering,all,any_ai,483,1892,25.5,478
2026-04-23,engineering,all,genai,286,1892,15.1,282
2026-04-23,engineering,all,ml,319,1892,16.9,314
2026-04-23,engineering,entry,any_ai,10,45,22.2,10
2026-04-23,engineering,entry,genai,6,45,13.3,6
2026-04-23,engineering,entry,ml,6,45,13.3,6
2026-04-23,engineering,mid,any_ai,120,716,16.8,118
2026-04-23,engineering,mid,genai,67,716,9.4,66
2026-04-23,engineering,mid,ml,76,716,10.6,72
2026-04-23,engineering,senior,any_ai,353,1131,31.2,350
2026-04-23,engineering,senior,genai,213,1131,18.8,210
2026-04-23,engineering,senior,ml,237,1131,21.0,236
2026-04-23,product,all,any_ai,129,397,32.5,128
2026-04-23,product,all,genai,105,397,26.4,102
2026-04-23,product,all,ml,59,397,14.9,59
2026-04-23,product,entry,any_ai,1,4,25.0,1
2026-04-23,product,entry,genai,0,4,0.0,0
2026-04-23,product,entry,ml,1,4,25.0,1
2026-04-23,product,mid,any_ai,37,119,31.1,36
2026-04-23,product,mid,genai,32,119,26.9,31
2026-04-23,product,mid,ml,10,119,8.4,10
2026-04-23,product,senior,any_ai,91,274,33.2,91
2026-04-23,product,senior,genai,73,274,26.6,71
2026-04-23,product,senior,ml,48,274,17.5,48
2026-04-23,security,all,any_ai,14,72,19.4,12
2026-04-23,security,all,genai,9,72,12.5,7
2026-04-23,security,all,ml,10,72,13.9,10
2026-04-23,security,entry,any_ai,0,1,0.0,0
2026-04-23,security,entry,genai,0,1,0.0,0
2026-04-23,security,entry,ml,0,1,0.0,0
2026-04-23,security,mid,any_ai,3,24,12.5,1
2026-04-23,security,mid,genai,3,24,12.5,1
2026-04-23,security,mid,ml,0,24,0.0,0
2026-04-23,security,senior,any_ai,11,47,23.4,11
2026-04-23,security,senior,genai,6,47,12.8,6
2026-04-23,security,senior,ml,10,47,21.3,10
2026-04-30,ai,all,any_ai,349,380,91.8,347
2026-04-30,ai,all,genai,269,380,70.8,264
2026-04-30,ai,all,ml,275,380,72.4,274
2026-04-30,ai,mid,any_ai,181,198,91.4,179
2026-04-30,ai,mid,genai,145,198,73.2,142
2026-04-30,ai,mid,ml,137,198,69.2,136
2026-04-30,ai,senior,any_ai,168,182,92.3,168
2026-04-30,ai,senior,genai,124,182,68.1,122
2026-04-30,ai,senior,ml,138,182,75.8,138
2026-04-30,data,all,any_ai,145,316,45.9,144
2026-04-30,data,all,genai,57,316,18.0,57
2026-04-30,data,all,ml,114,316,36.1,113
2026-04-30,data,mid,any_ai,40,126,31.7,40
2026-04-30,data,mid,genai,16,126,12.7,16
2026-04-30,data,mid,ml,32,126,25.4,32
2026-04-30,data,senior,any_ai,105,190,55.3,104
2026-04-30,data,senior,genai,41,190,21.6,41
2026-04-30,data,senior,ml,82,190,43.2,81
2026-04-30,devops,all,any_ai,80,303,26.4,80
2026-04-30,devops,all,genai,59,303,19.5,59
2026-04-30,devops,all,ml,39,303,12.9,39
2026-04-30,devops,entry,any_ai,0,10,0.0,0
2026-04-30,devops,entry,genai,0,10,0.0,0
2026-04-30,devops,entry,ml,0,10,0.0,0
2026-04-30,devops,mid,any_ai,33,122,27.0,33
2026-04-30,devops,mid,genai,29,122,23.8,29
2026-04-30,devops,mid,ml,9,122,7.4,9
2026-04-30,devops,senior,any_ai,47,171,27.5,47
2026-04-30,devops,senior,genai,30,171,17.5,30
2026-04-30,devops,senior,ml,30,171,17.5,30
2026-04-30,engineering,all,any_ai,421,1374,30.6,414
2026-04-30,engineering,all,genai,255,1374,18.6,249
2026-04-30,engineering,all,ml,279,1374,20.3,274
2026-04-30,engineering,entry,any_ai,12,33,36.4,11
2026-04-30,engineering,entry,genai,7,33,21.2,6
2026-04-30,engineering,entry,ml,7,33,21.2,7
2026-04-30,engineering,mid,any_ai,96,484,19.8,94
2026-04-30,engineering,mid,genai,60,484,12.4,59
2026-04-30,engineering,mid,ml,58,484,12.0,54
2026-04-30,engineering,senior,any_ai,313,857,36.5,309
2026-04-30,engineering,senior,genai,188,857,21.9,184
2026-04-30,engineering,senior,ml,214,857,25.0,213
2026-04-30,product,all,any_ai,122,380,32.1,121
2026-04-30,product,all,genai,98,380,25.8,95
2026-04-30,product,all,ml,57,380,15.0,57
2026-04-30,product,entry,any_ai,0,2,0.0,0
2026-04-30,product,entry,genai,0,2,0.0,0
2026-04-30,product,entry,ml,0,2,0.0,0
2026-04-30,product,mid,any_ai,35,110,31.8,34
2026-04-30,product,mid,genai,30,110,27.3,29
2026-04-30,product,mid,ml,10,110,9.1,10
2026-04-30,product,senior,any_ai,87,268,32.5,87
